,0
2022-07-28,5.3
2022-08-04,4.99
2022-08-11,5.22
2022-08-18,5.13
2022-08-25,5.55
2022-09-01,5.66
2022-09-08,5.89
2022-09-15,6.02
2022-09-22,6.29
2022-09-29,6.7
2022-10-06,6.66
2022-10-13,6.92
2022-10-20,6.94
2022-10-27,7.08
2022-11-03,6.95
2022-11-10,7.08
2022-11-17,6.61
2022-11-23,6.58
2022-12-01,6.49
2022-12-08,6.33
2022-12-15,6.31
2022-12-22,6.27
2022-12-29,6.42
2023-01-05,6.48
2023-01-12,6.33
2023-01-19,6.15
2023-01-26,6.13
2023-02-02,6.09
2023-02-09,6.12
2023-02-16,6.32
2023-02-23,6.5
2023-03-02,6.65
2023-03-09,6.73
2023-03-16,6.6
2023-03-23,6.42
2023-03-30,6.32
2023-04-06,6.28
2023-04-13,6.27
2023-04-20,6.39
2023-04-27,6.43
2023-05-04,6.39
2023-05-11,6.35
2023-05-18,6.39
2023-05-25,6.57
2023-06-01,6.79
2023-06-08,6.71
2023-06-15,6.69
2023-06-22,6.67
2023-06-29,6.71
2023-07-06,6.81
2023-07-13,6.96
2023-07-20,6.78
2023-07-27,6.81
2023-08-03,6.9
2023-08-10,6.96
2023-08-17,7.09
2023-08-24,7.23
2023-08-31,7.18
2023-09-07,7.12
2023-09-14,7.18
2023-09-21,7.19
2023-09-28,7.31
2023-10-05,7.49
2023-10-12,7.57
2023-10-19,7.63
2023-10-26,7.79
2023-11-02,7.76
2023-11-09,7.5
2023-11-16,7.44
2023-11-22,7.29
2023-11-30,7.22
2023-12-07,7.03
2023-12-14,6.95
2023-12-21,6.67
2023-12-28,6.61
2024-01-04,6.62
2024-01-11,6.66
2024-01-18,6.6
2024-01-25,6.69
2024-02-01,6.63
2024-02-08,6.64
2024-02-15,6.77
2024-02-22,6.9
2024-02-29,6.94
2024-03-07,6.88
